"Source:","/home/patches/HardwareProjects/PETI/hardware_design/prototyping_buttons_daughterboard/prototyping_backplane/prototyping_backplane.sch"
"Date:","Mon 27 Feb 2023 07:00:30 PM"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","19"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","Battery 2xAA Series","Battery","Battery:BatteryHolder_Keystone_2462_2xAA","Multiple-cell battery",""
"C1, C2, ","2","1 uF","C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C3, ","1","2.2 uF","C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","Unpolarized capacitor, small symbol",""
"D1, ","1","LED_BATT","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"D2, ","1","LED_ALERT","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"J1, ","1","BOOSTER_LEFT","Conn_02x10_Odd_Even","Connector_PinHeader_2.00mm:PinHeader_2x10_P2.00mm_Vertical","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","BOOSTER_RIGHT","Conn_02x10_Odd_Even","Connector_PinHeader_2.00mm:PinHeader_2x10_P2.00mm_Vertical","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","EXP_SPI","Conn_01x06_Female","Connector_PinHeader_2.00mm:PinHeader_1x06_P2.00mm_Horizontal","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","EXP_LCD_CS","Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Horizontal","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"LS1, ","1","Device Buzzer","Speaker","Buzzer_Beeper:Buzzer_12x9.5RM7.6","Speaker",""
"R1, ","1","100","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R2, ","1","100 O","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R3, ","1","100 kO","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R4, ","1","649 kO","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R5, ","1","340 kO","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"SW1, ","1","SW_DIP_x01 CUT LEADS","SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile","2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"SW2, ","1","SW_DIP_x02","SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile","2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"U1, ","1","TPS60204DGS","TPS60204DGS","Package_SO:VSSOP-10_3x3mm_P0.5mm","",""
